alacritty 0.17.0-1
android-tools 37.0.0-3
android-udev 20260423-1
antigravity 2.8.1-1
antigravity-cli 1.1.13_6057583128215552-1
arandr 0.1.11-6
aria2 1.37.0-3
arp-scan 1.10.0-5
ascii 3.32-1
ascii-image-converter 1.13.1-1
asciinema 3.2.1-1
asciiquarium 1.1-7
ast-grep 0.44.1-1
atuin 18.20.1-1
audacious 4.6.1-2
audacious-plugins 4.6.1-4
audacity 1:3.7.8-4
autorandr 1.15-2
autotiling 1.9.4-1
autotiling-rs 0.1.8-2
bandwhich 0.23.1-3
base 3-3
base-devel 1-2
bat 0.26.1-2
bibata-cursor-theme-bin 2.0.7-1
bitwarden-cli-bin 2026.8.0-1
blueman 2.4.6-2
bluez 5.87-2
bluez-utils 5.87-2
boxes 2.3.1-1
brightnessctl 0.5.1-3
broot 1.59.0-1
btop 1.4.7-1
calcurse 4.8.2-1
carapace-bin 1.7.3-1
catppuccin-cursors-mocha 2.0.0-1
catppuccin-gtk-theme-mocha 1.0.3-1
cava 0.10.7-1
cbonsai 1.4.2-1
chafa 1.18.2-2
choose 1.3.7-2
clang 22.1.8-1
cloudflared 2026.8.2-1
cmake 4.4.2-1
cmatrix 2.0-4
cmus 2.12.0-6
conky 1.22.3-3
copyq 16.0.0-1
cpupower 7.2.1-1
ctop 0.7.7-3
cups 2:2.4.19-1
cups-pk-helper 0.2.7-2
dasel-bin 3.11.2-1
dbeaver 26.1.5-1
difftastic 0.70.0-2
direnv 2.37.1-1
discord 1:1.0.155-1
dmenu 5.4-1
docker 1:29.7.2-1
docker-buildx 0.36.1-1
docker-compose 5.5.0-1
dog 0.1.0-8
downgrade 12.0.2-1
duf 0.9.1-1
dunst 1.13.2-2
dust 1.2.5-1
efibootmgr 18-4
eza 0.23.5-2
fastfetch 2.67.1-1
fd 10.4.2-2
feh 3.12.2-1
ffmpeg4.4 4.4.8-5
ffmpegthumbnailer 2.3.0-2
figlet 2.2.5-6
firefox 154.0.1-1
fish 4.8.1-1
flameshot 14.0.0-1
fselect 0.10.0-1
fzf 0.74.3-1
gdu 5.37.0-1
gimp 3.2.4-2
git 2.55.0-1
git-delta 0.19.2-2
github-cli 2.98.0-1
gitui 0.28.1-2
glances 4.5.6-1
glow 3.0.0-2
gnome-keyring 1:50.0-1
google-chrome 151.0.7922.169-1
gopls 0.23.0-1
gping 1.20.4-1
gradle 9.7.0-1
grex 1.4.6-2
gron 0.7.1-3
gst-libav 1.28.6-2
gst-plugin-pipewire 1:1.6.8-1
gst-plugins-ugly 1.28.6-2
gvfs 1.60.2-3
handbrake 1.11.2-1
handbrake-cli 1.11.2-1
htop 3.5.3-1
httpie 3.2.4-2
hyperfine 1.20.0-1
i3blocks 1.5-4
i3lock-color 2.13.c.5-3
i3lock-color-debug 2.13.c.5-3
i3status 2.15-1
i3-wm 4.25.1-1
imagemagick 7.1.2.30-1
imv 5.0.1-2
intel-media-driver 26.2.4-1
intel-ucode 20260812-1
jdk-openjdk 26.0.2.1.u1-1
jp2a 1.3.3-1
jq 1.8.2-1
kdeconnect 26.08.0-1
kdenlive 26.08.0-1
khal 0.14.1-1
kitty 0.48.2-1
kvantum 1.1.8-1
kvantum-qt5 1.1.8-1
lazydocker 0.25.2-1
lazygit 0.64.1-1
lf 42-1
lib32-mesa 1:26.2.1-1
lib32-vulkan-nouveau 1:26.2.1-1
libpulse 17.0+r98+gb096704c0-1
libreoffice-fresh 26.2.5-3
libva-intel-driver 2.4.5-1
lightdm 1:1.33.1-1
lightdm-gtk-greeter 1:2.0.9-2
linux 7.1.9.arch1-2
linux-firmware 20260810-2
linux-headers 7.1.9.arch1-2
linux-lts 6.18.47-1
llvm 22.1.8-2
lolcat 100.0.1-5
lxappearance 0.6.4-3
maim 5.8.2-1
mariadb 12.3.2-4
materia-gtk-theme 20210322-4
maven 3.9.16-1
mediainfo 26.05-1
mesa-demos 9.0.0-7
miller 6.21.0-1
mise 2026.8.10-1
mkinitcpio 41.1-1
mpd 0.24.15-1
mpv 1:0.41.0-5
nano 9.2-1
navi 2.24.0-1
ncmpcpp 0.10.1-9
neovim 0.12.5-1
netscanner 0.6.43-1
networkmanager 1.58.1-1
network-manager-applet 1.36.0-2
nlohmann-json 3.12.0-2
nmap 7.991-1
nodejs 26.8.1-1
noto-fonts 1:2026.08.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
npm 12.0.2-1
ntfs-3g 2026.7.7-1
ntfsprogs 2026.7.7-1
nvtop 3.3.2-1
obs-studio 32.2.2-1
ouch 0.8.0-2
pacman-contrib 1.13.1-1
pamixer 1.6-4
pandoc-cli 3.10.2-1
papirus-folders-catppuccin-git r30.f83671d1-2
papirus-icon-theme 20260801-1
pavucontrol 1:6.2-1
picom 13-2
pipes.sh 1.3.0-1
pipewire 1:1.6.8-1
pipewire-alsa 1:1.6.8-1
pipewire-jack 1:1.6.8-1
pipewire-pulse 1:1.6.8-1
playerctl 2.4.1-5
plocate 1.1.24-2
pnpm 11.3.0-1
polybar 3.7.2-2
postgresql 18.6-1
postman-bin 12.25.1-1
procs 0.14.12-1
projectlibre 1.9.8-1
proton-vpn-cli 1.0.3-1
python-i3ipc 2.2.1-9
python-pip 26.2.1-1
python-pipx 1.15.0-1
python-uv 0.12.6-1
qbittorrent 5.2.3-3
qt5ct 1.9-2
qt5-graphicaleffects 5.15.19-1
qt5-quickcontrols2 5.15.19+kde+r5-1
qt5-svg 5.15.19+kde+r5-1
qt6ct 0.11-8
rbw 1.15.0-2
rclone 1.75.0-1
ripgrep 15.2.0-1
rofi 2.0.0-1
rofi-calc 2.5.1-1
rofi-rbw 1.6.1-1
ruby 3.4.10-1
rust-analyzer 20260608-1
rustdesk 1.4.9-0
rustup 1.29.0-2
scrcpy 4.1-2
screenfetch 3.9.9-1
sd 1.1.0-1
sddm 0.21.0-7
sddm-theme-catppuccin-git 1.1.1.r6.g2869909-1
seahorse 1:47.0.1-6
slop 7.7-4
smartmontools 7.5-1
sox 14.8.0.1-1
spotify 1:1.2.96.518-1
spring-boot-cli 3.2.0-1
starship 1.26.0-1
steam 1.0.0.87-3
sudo 1.9.17.p2-6
superfile 1.6.0-1
syncthing 2.1.3-1
system-config-printer 1.5.18-6
task 3.5.0-2
tdrop 0.5.0-1
tealdeer 1.9.0-1
telegram-desktop 7.0.9-4
texlive-basic 2026.1-1
texlive-binextra 2026.1-1
texlive-fontsrecommended 2026.1-1
texlive-latex 2026.1-1
texlive-latexextra 2026.1-1
texlive-latexrecommended 2026.1-1
thefuck 3.32-13
thunar 4.20.9-1
thunar-archive-plugin 0.6.0-1
